date,prec,temp,q,flow,p1,p2
43405,205.1,22.40133333,127.1934,3.042436667,260.6,149.8
43435,232.5,23.68580645,116.9314,2.706745161,282.8,181.9
43466,177.7,25.48064516,79.2655,1.834848387,88.6,266.9
43497,138.3,24.65142857,59.0726,1.513928571,223,53.1
43525,93,24.0716129,93.5475,2.165458065,135.9,50.3
43556,139.2,23.60933333,60.1458,1.43867,84.5,194
43586,129.6,22.25935484,60.9101,1.40996129,43.2,215.6
43617,30.3,19.954,43.3941,1.03796,12.1,48.7
43647,121.2,19.19612903,40.5176,0.937906452,,242.5
43678,61,20.66645161,31.4009,0.726896774,0.1,122
43709,58.7,23.66533333,28.2842,0.67655,21.1,96.3
43739,210.3,24.36903226,32.8787,0.761077419,71.1,349.5
43770,135.4,23.62933333,70.0994,1.676763333,189.8,81.2
43800,114.4,23.58903226,98.6435,2.283419355,129.3,99.8
