fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
33,1033742,1012440046,1594.04332,8081.83415,0.19724,1974,351168,144.75,2100,52,Good,,1,1,0,greenroofs.com,431 WEST END AVENUE,MN,X,R10A,,0,-73.98056,40.78563
34,3398156,3011180001,128158.7846,200331.9484,0.63973,2011,1250122,137.5194,2100,43,Good,,1,1,0,greenroofs.com,620 ATLANTIC AVENUE,BK,P,C6-1,DB,0,-73.97516,40.6826
35,,3002450015,562.92617,,,,,,,,Good,No Building in older building footprint dataset,0,0,1,Visual - pre-classification,268 FURMAN STREET,BK,M,M2-1,SV-1,1,-74.00061,40.69455
36,3391508,3011170001,24015.11714,53638.87732,0.44772,1931,1256930,25.03122,2100,70,Good,,1,1,0,greenroofs.com,95 PROSPECT PARK WEST,BK,C,PARK,,0,-73.96419,40.65729
37,3398406,3000367504,11084.32918,46505.97093,0.23834,2015,1263692,37.15164,5100,18,Good,,1,0,0,classification,60 WATER STREET,BK,,M1-2/R8,MX-2,0,-73.99213,40.70289
38,1088437,1010517502,2634.72412,47633.59408,0.05531,2008,1158178,609.90216,2100,25,Good,,1,0,0,classification,450 WEST 42 STREET,MN,,C6-4,CL,0,-73.99449,40.75899
39,1089868,1007367501,1081.76867,11177.9147,0.09678,2008,1260794,173.53684,2100,14,Good,,1,0,0,classification,511 9 AVENUE,MN,,C1-7A,HY,0,-73.99454,40.75628
40,1088288,1020320023,469.64796,7257.18321,0.06471,2010,1256136,83.56929,2100,20,Good,,1,0,0,classification,203 WEST 146 STREET,MN,P,R7-2,,0,-73.93918,40.82269
41,3424696,3023410009,1837.85576,47544.28063,0.03866,2015,1257293,70.97734,2100,16,Good,,1,0,0,classification,204 WYTHE AVENUE,BK,,M1-2/R6A,MX-8,0,-73.96241,40.71829
42,1008028,1005160026,191.46897,10454.46032,0.01831,1900,540640,87.5615,2100,21,Good,,1,0,0,classification,474 WEST BROADWAY,MN,,M1-5A,,0,-74.00066,40.7269
